date,shf,lhf,swn,lwn,t,u,melt,subl,tdep,teq,rh,tlat
2019-08-07,0.9964934923054497,-6.253079194402758,62.5093125,-26.79895833333333,273.04572916666666,2.3733125000000004,10.998071002238431,0.210424998118853,-32.05554403543064,288.47076961483464,0.88810625,15.425040448167953
2019-08-08,1.8676677923332932,-3.2103862944055908,52.75114285714286,-31.404047619047624,273.45579166666664,2.1458958333333333,8.340201649325445,0.13925557628503957,-32.746766121119926,288.80926512320383,0.86673125,15.353473456537158
2019-08-09,1.5360086828589825,-3.0265522023671427,67.4110625,-29.186666666666657,272.915,2.0030208333333333,12.437941989764582,0.13313048117226464,-30.67721018617482,288.5331145147515,0.9088354166666667,15.618114514751541
2019-08-10,1.122632824318346,-1.819175557203881,57.16912500000001,-13.197291666666667,273.19304166666666,1.2301458333333335,8.432043771224002,0.07812186006061224,-13.8938343995522,289.0049377409694,0.9049729166666666,15.811896074302735
2019-08-11,-1.5064855580353145,-2.8049069565387805,28.27990217391305,4.287173913043467,273.014125,1.1146666666666667,8.027562862409313,0.08914453208372727,-0.02421860153062769,289.05186081508754,0.9299666666666667,16.037735815087554
2019-08-12,-1.2215301265981968,-2.4085814950006674,39.54642857142857,0.9102380952381065,273.8437916666667,1.0937291666666666,8.955377792777764,0.06426312605936582,-2.719873526360758,290.0432929155458,0.8900208333333334,16.199501248879113
2019-08-13,-1.098222886035759,-2.256284291350212,44.07260869565217,-2.0586956521739115,273.4054375,1.5410625,10.572346767970375,0.07596425860735052,-5.413202829559883,290.0155579031441,0.93550625,16.610120403144112
2019-08-14,1.2647978262951585,0.1293363644898302,55.55593749999999,-2.239999999999995,272.9191666666666,2.0934583333333334,14.016414708079665,0.07053239888845982,-0.8458658092150056,289.7100972486872,0.9738354166666667,16.79093058202054
2019-08-15,2.2686885384641142,1.022411259722805,51.7968695652174,-20.943260869565222,273.32183333333336,1.0889791666666666,10.445933950572053,0.01884648381378887,-17.652161071378305,289.46771398466916,0.9139395833333334,16.14588065133586
2019-08-16,-0.5074549908136831,-1.2773395639324718,30.821527777777778,-15.312777777777777,274.59606249999996,0.9251666666666667,1.491651039222191,0.036719838430449354,-17.09757233252393,290.4204140372422,0.8370937500000001,15.824351537242249
2019-08-17,0.3151906853625784,-0.6045616128606179,21.5477380952381,4.334523809523806,273.05747916666667,0.8514166666666667,5.0596097839716805,0.02604832070938328,4.045152882025766,288.7785204579552,0.9096895833333334,15.721041291288538
2019-08-18,0.7875407535924078,-2.8840840456462855,73.11729565217391,-1.5923913043478302,272.3670416666667,0.8967916666666667,12.99641498241835,0.08460657172790445,-3.688934596401708,285.99923190436306,0.8298666666666666,13.632190237696411
2019-08-19,2.432026990359645,-1.0156543812397532,51.503083333333336,-9.220624999999998,272.33754166666665,1.2715625,11.564543719903384,0.05829887810952814,-7.804252390880106,285.700888140218,0.8183729166666667,13.363346473551365
2019-08-20,1.6403518895847025,-0.02118509681542303,67.2541619047619,-44.908571428571435,273.7074375,1.03775,7.547351788550979,0.022953340917219168,-43.28940463580215,287.9743438940572,0.8042791666666668,14.266906394057175
2019-08-21,1.0745192182949848,-1.52374050558688,66.89028260869566,-13.668913043478257,272.71922916666665,1.4255625,9.987514000466431,0.07440568867501168,-14.118134330770154,287.25009264026613,0.8659229166666668,14.530863473599508
2019-08-22,0.8733592520196065,-5.442272079613753,81.13919565217391,-29.32,272.39872916666667,1.9733333333333334,12.138290488971972,0.18115927753426841,-33.88891282759415,285.7680621363458,0.8224,13.369332969679155
2019-08-23,0.9589602605421412,-4.6545452641583775,76.84104347826087,-34.29217391304348,272.73204166666665,1.66125,11.604829830238277,0.14741420961900675,-37.987758916659715,287.51146409296905,0.8792895833333333,14.779422426302395
2019-08-24,-2.06140452340869,-5.0855804762479435,46.99197826086957,-0.7871739130434838,272.3497708333333,1.7746875,11.21507548926889,0.14986544650335024,-7.934158912700117,287.8703666695433,0.9436041666666667,15.52059583620993
2019-08-25,-5.6463990546372544,-10.095539327691254,43.3071875,-5.764583333333332,271.10802083333334,2.4243125,8.483126365440306,0.3077821446409744,-21.506521715661837,285.65386706738076,0.973125,14.545846234047461
2019-08-26,-3.1668348604697925,-7.574601394847236,59.14303478260871,-22.63760869565217,271.46479166666666,2.245645833333333,9.340790121676514,0.2501643399509176,-33.3790449509692,286.0404627162321,0.95070625,14.575671049565456
2019-08-27,9.662719290167393,-5.5272801718892675,117.75577083333332,-70.764375,271.9889583333333,2.3317083333333333,16.00041916722415,0.2250112106990698,-66.62893588172189,283.5493768984868,0.724475,11.560418565153471
2019-08-28,0.9005976420200891,-7.097224329116539,89.34047954545456,-35.356590909090905,273.5359583333333,1.665125,10.974701891799462,0.1983416255702283,-41.55321759618735,287.4557815571829,0.7894270833333333,13.919823223849578
2019-08-29,-0.4440218554081819,-4.098921830913283,50.060367391304354,-21.794565217391302,272.1098333333333,1.8081874999999998,9.830299740825145,0.15721866598111314,-26.337508903712763,287.5398669588037,0.9551041666666666,15.430033625470385
2019-08-30,4.534471989686212,-2.023208057310304,63.037819999999996,-56.89675,273.85175,1.4143333333333334,8.188348795662247,0.06790620592902681,-54.385486067624086,287.42598228954745,0.7404020833333332,13.574232289547489
2019-08-31,0.4707999510673509,-0.108021497680827,30.69460263157895,-11.332105263157889,273.73056249999996,0.8639791666666667,6.017816913588665,0.01538139511210104,-10.969326809771365,289.84287720886044,0.8957708333333333,16.112314708860463
2019-09-01,-0.33390618110391673,-2.385427558538236,51.8613,-0.7691666666666657,271.7734791666667,1.2473125,12.857608017391497,0.08147607741022476,-3.4885004063088183,286.8983460588324,0.9585833333333333,15.124866892165679
2019-09-02,-0.22262848333082672,-1.4754561962978006,66.63197631578947,-23.24552631578949,273.8574375,0.8381041666666667,5.814635738635058,0.03569864106653501,-24.943610995418116,288.96280918875163,0.8390562500000001,15.105371688751648
2019-09-03,-0.39616666286183966,-1.0408423903552158,18.8927025,-5.541000000000006,273.25185416666665,0.7341041666666667,3.6783303077009037,0.026443419938452298,-6.97800905321706,289.69943883719696,0.9363979166666666,16.44758467053031
2019-09-04,-0.7340291894087632,-1.1943307204265772,24.712930000000004,1.176000000000002,273.6376041666667,0.6237291666666667,5.411384456840929,0.030809775073435134,-0.7523599098353384,289.76918671210774,0.9015708333333333,16.131582545441105
2019-09-05,0.8903466280309564,0.6374063180692915,35.082883333333335,-17.83333333333334,273.57424999999995,0.9248333333333334,7.156953834308375,0.017935250696425764,-16.305580387233093,289.4712245352011,0.8928333333333334,15.896974535201094
2019-09-06,-0.10769780804919134,-0.8161198844236195,35.33133333333334,-0.48833333333333845,273.7068958333333,0.37864583333333335,6.7361208551153595,0.022131106181714745,-1.4121510258061494,289.50499669023117,0.8878875,15.79810085689787
2019-09-07,4.341208212346153,3.0061474417388405,24.007142857142853,-22.073095238095238,272.658125,1.3455000000000001,4.95892483993411,0.002797175708273866,-14.725739584010244,287.25769259127554,0.8673375,14.599567591275589
