date,sin,sout,albedo,lin,lout,rh,t,u,wd,p,zu,zt,rho,q,teq,ts,qs,zq
2019-03-06,158.0490625,117.65604166666667,,304.6328125,309.53458333333333,0.8736614583333333,274.3921875,1.6216666666666668,,574.589779836254,2.0,2.0,0.40716586375949815,0.006342704065429818,290.05282607531154,272.43610216203615,0.006265605101056095,2.0
2019-03-07,237.96343750000003,145.44416666666666,,247.60947916666666,304.0678125,0.6885104166666666,276.0111458333333,1.5152083333333335,,574.589779836254,2.0,2.0,0.3633626384579474,0.005609737625324667,289.84666861061896,270.8430114762475,0.005572615958018538,2.0
2019-03-08,254.92427083333334,141.59760416666668,,233.61729166666666,304.2651041666667,0.5921260416666666,275.46999999999997,1.9682291666666665,,574.589779836254,2.0,2.0,0.38035223289966097,0.004647741424504719,286.94952610039036,271.25198117695544,0.005723175621262357,2.0
2019-03-09,139.24177083333333,109.74229166666667,,271.945625,302.8246875,0.760471875,272.99291666666664,2.197083333333333,,574.589779836254,2.0,2.0,0.44241434517960987,0.0048730836767907045,285.0586622296927,271.0771057612255,0.005657157156813645,2.0
2019-03-10,157.58604166666666,101.51010416666666,,318.5365625,305.7552083333333,0.9161197916666667,274.0011458333333,1.074375,,574.589779836254,2.0,2.0,0.41545406013680813,0.0065113454063054485,290.0767268003057,271.46740760101204,0.005819976708711369,2.0
2019-03-11,172.22697916666667,125.05874999999999,,295.95166666666665,309.55854166666666,0.9051729166666668,274.38145833333334,2.0058333333333334,,574.589779836254,2.0,2.0,0.4079343404293781,0.006552538208041508,290.56054959078136,272.23836699812387,0.0061845853274870586,2.0
2019-03-12,137.65739583333334,98.64802083333332,,266.9264583333333,305.5821875,0.8146895833333333,274.40104166666663,1.8398958333333333,,574.589779836254,2.0,2.0,0.40617593159379206,0.005873199613588041,288.9108057170543,271.6524633824487,0.005886375023946076,2.0
2019-03-13,82.81197916666666,69.97479166666666,,285.1971875,304.86385416666667,0.9266583333333333,273.11302083333334,,,574.589779836254,2.0,2.0,0.4389893070468276,0.00611487378513633,288.23576073691885,271.4254922591281,0.005823564674395203,2.0
2019-03-14,111.491875,90.96291666666667,,318.3148958333333,313.25770833333337,0.9280677083333333,273.39697916666665,,,574.589779836254,2.0,2.0,0.43236342881356005,0.006253623227481232,288.85699627832935,273.04950143028236,0.006564337044129307,2.0
2019-03-15,92.09354166666667,77.87041666666667,,315.23729166666664,313.2786458333333,0.93231875,273.64197916666666,1.4948958333333333,,574.589779836254,2.0,2.0,0.4265271113854853,0.006396465301993056,289.4504081030937,273.03485792176485,0.0065570671536317356,2.0
2019-03-16,106.1559375,83.0034375,,305.30354166666666,308.9472916666667,0.9283114583333334,273.37041666666664,,,574.589779836254,2.0,2.0,0.4331265679963449,0.006235089035672259,288.7852103677066,272.37266824293073,0.006224816232889029,2.0
