date,t,pr,rh,u,sin,sout,lin,lout,SR_50 m,zatm_hourly m,Ameas - ,p,zu,zt,rho,q,teq,albedo,ts,qs,zq
2012-09-03 09:00:00,275.98499999999996,0.0,0.5925,3.665,1104.15,233.005,257.195,320.905,2.948333333,2.0,0.211026582,590.7558198002691,2.0,0.88,0.3881867897065623,0.004674238515941475,287.5267270588735,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 10:00:00,276.09499999999997,0.0,0.62415,3.78,801.985,184.89,249.93,320.935,2.963333333,2.0,0.230540471,590.7558198002691,2.0,0.88,0.38523182878682566,0.004962509492616934,288.3442458405856,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 11:00:00,275.765,0.0,0.65475,4.86,502.795,137.52,249.95,318.795,2.963333333,2.0,0.273511073,590.7558198002691,2.0,0.88,0.39404595236747453,0.005085213409447958,288.32005807579714,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 12:00:00,275.635,0.0,0.65295,4.265,155.715,51.72,242.34,316.345,2.963333333,2.0,0.332145265,590.7558198002691,2.0,0.88,0.3974766193590841,0.005024539821036655,288.04252136831286,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 13:00:00,275.06,0.0,0.68585,5.03,61.595,26.955,236.465,313.565,2.963333333,2.0,0.43761669,590.7558198002691,2.0,0.88,0.41237386522388275,0.005065536721217824,287.57567455174075,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 14:00:00,274.45,0.0,0.7304,5.765,0.0,0.0,236.515,311.155,2.963333333,2.0,1.0,590.7558198002691,2.0,0.88,0.42769512687347655,0.005163695941448613,287.21514564987353,0.24182077277249223,273.15,0.006436214420643204,0.88
2012-09-03 15:00:00,274.325,0.0,0.70145,5.59,0.0,0.0,232.58,309.57,2.963333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4307747305389466,0.004914645480960603,286.4785294984961,0.24197847787968102,273.15,0.006436214420643204,0.88
2012-09-03 16:00:00,274.155,0.0,0.749,5.115,0.0,0.0,237.905,309.225,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.43493074699155554,0.005183950755175595,286.9738920127135,0.24253840621918799,273.1280888831309,0.006424604403768269,0.88
2012-09-03 17:00:00,273.87,0.0,0.7356,5.35,0.0,0.0,233.675,308.215,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4418156388833291,0.004987596580584119,286.2089707910473,0.24326826964445725,272.9047903969521,0.006307368327975588,0.88
2012-09-03 18:00:00,274.085,0.0,0.74885,4.04,0.0,0.0,285.325,311.09,2.953333333,2.0,1.0,590.7558198002691,2.0,0.88,0.43663131382850245,0.005156827636522793,286.8380267818243,0.24228321890128357,273.15,0.006436214420643204,0.88
2012-09-03 19:00:00,273.995,0.0,0.8025,4.12,0.0,0.0,293.05,312.1,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4388086085128446,0.005490521943437598,287.570787030515,0.24500753173180775,273.15,0.006436214420643204,0.88
2012-09-03 20:00:00,273.42499999999995,0.0,0.835,4.005,0.0,0.0,307.475,312.725,2.953333333,2.0,1.0,590.7558198002691,2.0,0.88,0.45236213091726857,0.00548216147669621,286.9881944638482,0.2482013849930029,273.15,0.006436214420643204,0.88
2012-09-03 21:00:00,273.325,0.0,0.874,3.76,0.0,0.0,308.085,312.34,2.953333333,2.0,1.0,590.7558198002691,2.0,0.88,0.45469845913040274,0.005696750810355298,287.4180686293089,0.2620054105640686,273.15,0.006436214420643204,0.88
