date,sample,cal day,time (UT),total time,u,wd,umax,sin,sout,lin,lout,net rad,t,rh_i,rh,tw,p,h,zu,zt,rho,q,teq,ts,qs,zq
2011-01-26,62664.5,25.979166666666668,12.25,26.489541666666668,2.125833333333333,179.95916666666668,3.7145833333333336,71.79583333333333,56.62895833333334,217.77895833333332,256.9279166666667,-24.899583333333336,264.90729166666665,52.86541666666667,0.5736354166666667,-9.263958333333333,774.5975500999435,-2.3291666666666666,3.5,3.5,0.8667984072694391,0.0013909120539410608,268.3916778467168,260.68691701279243,0.0017555293210933913,3.5
2011-01-27,62712.5,26.979166666666668,12.25,27.489541666666668,3.7731250000000003,180.21166666666667,5.2437499999999995,99.82604166666665,55.21875,156.21604166666665,233.6364583333333,-34.63875,262.39666666666665,45.473958333333336,0.5058270833333333,-11.700625,774.5975500999435,-2.344375,3.5,3.5,0.9057257394499375,0.000978991443323206,264.8570549702955,254.60976430301469,0.0009768552044648136,3.5
2011-01-28,62760.5,27.979166666666668,12.25,28.489520833333334,4.104583333333333,178.6939583333333,5.3425,103.536875,57.924375,174.20000000000002,240.50479166666665,-21.915833333333335,261.8560416666666,55.81479166666667,0.6241770833333333,-12.043541666666668,774.5975500999435,-2.3493749999999998,3.5,3.5,0.913378496237809,0.0011505534176593272,264.7489570968851,256.4598748914439,0.0011614016799956156,3.5
2011-01-29,62808.5,28.979166666666668,12.25,29.489541666666668,3.3129166666666667,175.47333333333333,4.5616666666666665,82.278125,56.855,198.69083333333333,250.9154166666667,-28.02125,263.5072916666666,59.453125,0.6530375,-10.425625,774.5975500999435,-2.348333333333333,3.5,3.5,0.8892409459620386,0.0014174430620337265,267.06303480919956,259.16579437011006,0.001517537326997715,3.5
2011-01-30,62856.5,29.979166666666668,12.25,30.489520833333334,3.5375,186.77229166666666,4.914583333333334,88.376875,55.632083333333334,204.80999999999997,261.10541666666666,-24.922083333333333,266.16791666666666,65.12854166666666,0.6967083333333334,-7.813541666666667,774.5975500999435,-2.34125,3.5,3.5,0.8446121845743776,0.0019239335085250969,270.97705209632073,261.7285483678081,0.0019508016398432793,3.5
2011-01-31,62904.5,30.979166666666668,12.25,31.489541666666668,3.4964583333333334,179.71770833333335,5.054375,111.45687500000001,60.91958333333333,160.91458333333333,244.62187500000002,-35.25541666666667,266.436875,41.62375,0.4450375,-7.972291666666667,774.5975500999435,-2.345625,3.5,3.5,0.8404998215599805,0.0012293010859376393,269.5115006602751,257.5531801934126,0.0012843355432035494,3.5
2011-02-01,62952.5,31.979166666666668,12.25,32.48954166666667,3.904583333333333,179.62583333333336,5.149375,114.82166666666666,61.84729166666667,151.90520833333332,240.18458333333334,-37.352916666666665,266.9964583333333,25.067916666666665,0.2663270833333333,-7.5995833333333325,774.5975500999435,-2.348125,3.5,3.5,0.8298713933644218,0.000779924045312658,268.9465180238445,256.36664130849914,0.00116046365975193,3.5
2011-02-02,63000.5,32.979166666666664,12.25,33.48952083333334,3.533333333333333,183.49770833333332,5.768541666666667,116.23750000000001,62.74791666666667,157.35791666666668,241.48749999999998,-32.679375,266.795625,29.75208333333333,0.316675,-7.798958333333334,774.5975500999435,-2.3452083333333333,3.5,3.5,0.8340128713897171,0.0009105123278951929,269.0725944239619,256.7057631140392,0.001202916901279204,3.5
2011-02-03,63048.5,33.979166666666664,12.25,34.48954166666667,2.7191666666666667,187.24916666666664,4.30375,81.44104166666666,56.33833333333334,205.93729166666665,260.26729166666667,-30.401875,269.65624999999994,34.40770833333333,0.35572916666666665,-5.187708333333333,774.5975500999435,-2.3264583333333335,3.5,3.5,0.776169925157229,0.0013210012952255892,272.9476065027888,261.4899338129516,0.0019358348377742864,3.5
2011-02-04,63096.5,34.979166666666664,12.25,35.48952083333334,3.39,182.81791666666666,5.1518749999999995,121.88937499999999,69.9775,196.29437499999997,264.87083333333334,-17.987708333333334,270.3414583333333,40.41708333333333,0.4159625,-4.5597916666666665,774.5975500999435,-2.326875,3.5,3.5,0.7569887219874903,0.001649759485996571,274.4461298878203,262.66610492467174,0.0021171534680505134,3.5
2011-02-05,63144.5,35.979166666666664,12.25,36.48954166666667,4.044791666666667,178.96583333333334,5.693958333333334,87.71249999999999,51.98916666666667,185.22,268.52916666666664,-49.20375000000001,273.7466666666666,28.862291666666668,0.28945,-1.5516666666666667,774.5975500999435,-2.316875,3.5,3.5,0.6784587272782492,0.0014482343008970714,277.34079515773135,263.6426820380455,0.002205397102688331,3.5
2011-02-06,63192.5,36.979166666666664,12.25,37.48954166666667,3.7568750000000004,180.23270833333333,5.4624999999999995,128.798125,72.9825,181.89729166666666,272.3910416666667,-36.499583333333334,275.1695833333333,21.154791666666664,0.21157916666666665,-0.35125,774.5975500999435,-2.32,3.5,3.5,0.6408452457238071,0.0011887254723737873,278.1158148744627,264.5717645741602,0.0024134926752287056,3.5
