date,year,month,dayofyear,hour,sin,sout,lin,lout,t,rh,vp,p,u,wdir,zu,zt,zq,rho,q,teq,ts,qs
2005-07-22,2005.0,7.0,203.125,11.5,356.465375,99.0215,117.60374999999999,268.38958333333335,266.3425833333333,0.10540970833333334,0.36884541666666665,502.30625000000003,7.3223125,141.59375,1.8500000000000003,1.75,1.75,0.4867168109637652,0.0004574309052815184,267.4872452829032,263.5581575703505,0.0034880507926749247
2005-07-23,2005.0,7.0,204.125,11.5,343.24216666666666,93.17016666666666,130.52041666666668,275.17791666666665,266.7212083333333,0.24492875,0.8419675,502.1229166666667,3.5496458333333334,136.40995833333332,1.8500000000000003,1.75,1.75,0.4788364186262351,0.0010461258866703506,269.33564831215614,265.15358813721286,0.0041493471643639715
2005-07-24,2005.0,7.0,205.125,11.5,291.9687916666667,104.46616666666667,184.63375,278.97875,263.7625,0.9092108333333333,2.503075,502.28541666666666,4.0828750000000005,210.46541666666667,1.8500000000000003,1.75,1.75,0.5257399708051514,0.003106299027682936,271.5414891924434,266.12443901819285,0.004354747625325913
2005-07-25,2005.0,7.0,206.125,11.5,284.7334583333333,88.83291666666668,175.75833333333333,282.58,265.68985416666663,0.8688404166666667,2.8306883333333333,502.79583333333335,3.9892708333333338,236.40625,1.8500000000000003,1.75,1.75,0.496956432269201,0.0035079376442854093,274.4514011474304,266.93905139005426,0.0047182980151020725
2005-07-26,2005.0,7.0,207.125,11.5,353.7132916666667,101.30918750000001,141.10875000000001,277.0491666666667,266.33641666666665,0.4362204166666667,1.4865533333333334,502.57708333333335,5.834,310.32,1.8500000000000003,1.75,1.75,0.4869209979001145,0.0018435032772279854,270.94443195206577,265.663121611029,0.004178530841221326
2005-07-27,2005.0,7.0,208.125,11.5,356.8047916666667,102.99179166666666,161.09125,276.54,266.3729583333333,0.451140625,1.4598183333333334,502.0625,6.809145833333333,242.84929166666666,1.8500000000000003,1.75,1.75,0.4846232665449641,0.0018149038143406527,270.9099400852256,265.54211736971666,0.004131648572122173
2005-07-28,2005.0,7.0,209.125,11.5,217.02325,132.34504166666667,222.12166666666667,285.59083333333336,266.13104166666665,0.8848172916666667,3.0016720833333337,502.7395833333333,4.722875,248.54999999999998,1.8500000000000003,1.75,1.75,0.4901625919026528,0.003719726848633837,275.41502286815705,267.71055744299264,0.004910053973534362
2005-07-29,2005.0,7.0,210.125,11.5,345.98775,133.96854166666665,151.62083333333334,276.57125,266.70185416666664,0.2143465,0.76766625,502.6229166666667,4.916625000000001,244.68208333333334,1.8500000000000003,1.75,1.75,0.48072602982995066,0.0009506289427121973,269.07846588960933,265.53902591829484,0.004160702019837915
2005-07-30,2005.0,7.0,211.125,11.5,338.1185,109.51639583333332,151.18291666666667,281.02125,268.0783125,0.21499354166666665,0.9099750000000001,501.8208333333334,2.7866458333333335,232.24970833333336,1.8500000000000003,1.75,1.75,0.4547539074932692,0.0011288341635044077,270.8912944320308,266.55070597104003,0.004643583173100521
2005-07-31,2005.0,7.125,212.125,11.5,343.77979166666665,105.22416666666668,159.69416666666666,281.5575,266.86672916666663,0.6161900416666667,2.274505833333333,502.0333333333333,5.203145833333333,181.82604166666667,1.8500000000000003,1.75,1.75,0.47721101109331454,0.0028226065064442182,273.9067922600076,266.7152943121592,0.004637915053607277
2005-08-01,2005.0,8.0,213.125,11.5,340.31958333333336,101.94091666666667,144.55541666666667,281.4820833333333,266.5332916666666,0.57957475,2.0382166666666666,502.4166666666667,5.503895833333334,213.61933333333332,1.8500000000000003,1.75,1.75,0.48290709266316706,0.002531098872892602,272.8537373299146,266.70439343752577,0.004614047798926051
