date,t,rh,u,wd,sin,sout,lin,lout,sr50,p,zu,zt,rho,q,teq,ts,qs,zq
2018-10-09,265.23724999999996,0.4480416666666667,1.5376458333333336,213.9711041666667,281.0508541666666,200.72462499999995,170.09562500000007,250.5008333333333,0.6911458333333335,528.4041666666666,1.983000606796116,1.480400485436893,0.5366886214961762,0.0016895913703824986,269.46371307814474,258.7116985340052,0.0026173233107828504,1.480400485436893
2018-10-10,267.19816666666674,0.2417145833333333,2.6836041666666657,183.2829375,302.84179166666667,211.2117708333333,162.12708333333336,257.51708333333335,,528.9208333333331,1.9815442961165053,1.4792354368932037,0.5065196074666408,0.0010511059328538275,269.82436320874103,260.73819777441764,0.0027786783009943468,1.4792354368932037
2018-10-11,267.27895833333326,0.24437916666666668,3.8664166666666664,250.38122916666666,284.23093750000004,197.97795833333336,185.77666666666667,264.5727083333334,0.69875,529.5812500000001,1.980087985436893,1.4780703883495143,0.5054675215761619,0.0010685486088080041,269.9487457310963,262.5643010472609,0.0031409087423311458,1.4780703883495143
2018-10-12,266.6723541666666,0.29126666666666673,3.0503750000000003,220.16739583333342,220.34368750000002,158.38756249999997,183.71729166666668,259.76979166666666,,528.71875,1.9786316747572819,1.4769053398058254,0.5148777524476946,0.001237139691586604,269.7646146146421,261.31417355144356,0.0028902173658077305,1.4769053398058254
2018-10-13,266.12141666666656,0.15082083333333332,2.9713125000000002,124.04079166666669,302.6571458333333,201.8713541666667,142.53604166666665,252.28437499999995,,528.3770833333333,1.9771753640776701,1.475740291262136,0.5233110230749103,0.000615392061535366,267.6611874791153,259.3940360167627,0.0024761259814855075,1.475740291262136
2018-10-14,265.7250624999999,0.15886854166666667,3.235958333333333,166.69635416666662,301.42895833333336,196.74891666666667,142.53437499999998,252.6585416666666,,528.2604166666669,1.9757190533980573,1.4745752427184466,0.5291998759643003,0.0006237254081514209,267.2862843884263,259.5029871484481,0.002478914900031393,1.4745752427184466
2018-10-15,266.5616875,0.17789833333333335,4.4321666666666655,212.7081041666667,297.9740208333333,191.60372916666668,149.36583333333334,259.3379166666667,,528.6208333333332,1.9742627427184478,1.4734101941747573,0.517211412327351,0.0007435327753954547,268.421169650891,261.2560443226015,0.0027983165257859997,1.4734101941747573
2018-10-16,268.51552083333326,0.23263541666666662,4.780145833333332,191.58931250000003,292.7169375,186.23966666666664,168.77583333333334,267.30583333333334,,529.1729166666665,1.972806432038834,1.472245145631068,0.48230599035970795,0.0011315437944288975,271.3393461070321,263.27384823180284,0.0032672202087722503,1.472245145631068
2018-10-17,266.5863541666665,0.31646041666666663,4.5467708333333325,185.8717291666666,288.47522916666657,181.24447916666668,169.64708333333337,264.8535416666667,,527.49375,1.971350121359224,1.4710800970873787,0.5148982901718524,0.0013324456116895961,269.91713183318643,262.64264666850556,0.0031493568734563306,1.4710800970873787
2018-10-18,265.1899791666666,0.21038124999999996,4.690749999999999,158.70912500000006,292.6680833333333,178.54100000000003,150.11166666666665,255.9858333333334,,527.2249999999997,1.9698938106796116,1.4699150485436894,0.5371874524670097,0.0007860017021701474,267.1587002663477,260.4119985230811,0.0025890302710065627,1.4699150485436894
2018-10-19,264.1539583333333,0.2448104166666666,3.3324583333333333,137.28116666666665,289.6845416666667,175.29814583333334,147.3279166666667,252.53166666666672,,527.7791666666668,1.9684375,1.46875,0.5531656922619484,0.0008310714580563441,266.2378049672245,259.47920308682006,0.0024605745759307433,1.46875
2018-10-20,264.59493749999996,0.22247916666666667,3.559645833333333,148.92956249999997,289.3890208333333,173.99511458333336,148.69520833333337,252.9610416666667,,528.5333333333334,1.9669811893203892,1.4675849514563108,0.5482318827011358,0.0007859556009576148,266.5649043717847,259.6177832652354,0.0024410237122786753,1.4675849514563108
2018-10-21,263.966875,0.3008979166666667,3.1523333333333343,168.73875,281.43604166666665,169.65224999999995,153.92854166666663,254.03354166666665,,528.4375,1.9655248786407755,1.466419902912621,0.5565509870435535,0.0010259949421351957,266.53866080796263,259.8575709405523,0.00254729417947372,1.466419902912621
